,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
267,80,0.0,2562,6.0613229449991195,"[0, 0, 2, 1, 2, 1, 0, 2, 0, 1, 1, 1, 0, 1, 0, 2, 1, 1, 1, 2, 1, 0, 0, 1, 1, 2, 2, 2, 1, 2, 2, 0, 2, 0, 0, 2, 0, 1, 1, 2, 1, 0, 1, 2, 2, 0, 2, 1, 2, 0]",100,80,31
268,0,0.0,2562,6.127039711998805,"[1, 2, 2, 0, 0, 1, 1, 0, 2, 1, 2, 0, 1, 1, 0, 1, 0, 1, 0, 1, 2, 2, 2, 1, 1, 2, 2, 0, 0, 0, 2, 2, 2, 0, 1, 2, 1, 1, 1, 0, 1, 2, 0, 2, 2, 0, 2, 2, 0, 2]",100,80,32
269,80,0.0,2642,6.347119592999661,"[1, 2, 2, 0, 0, 1, 1, 0, 2, 1, 2, 0, 1, 1, 0, 1, 0, 1, 0, 1, 2, 2, 2, 1, 1, 2, 2, 0, 0, 0, 2, 2, 2, 0, 1, 2, 1, 1, 1, 0, 1, 2, 0, 2, 2, 0, 2, 2, 0, 2]",100,80,32
270,0,0.0,2642,6.414625907997106,"[0, 0, 1, 2, 1, 0, 0, 2, 2, 2, 1, 2, 2, 0, 0, 2, 2, 0, 2, 1, 1, 1, 2, 0, 2, 2, 0, 0, 0, 1, 2, 0, 2, 1, 1, 0, 0, 2, 0, 2, 0, 2, 2, 2, 2, 1, 2, 0, 1, 1]",100,80,33
271,80,0.0,2722,6.635550083999988,"[0, 0, 1, 2, 1, 0, 0, 2, 2, 2, 1, 2, 2, 0, 0, 2, 2, 0, 2, 1, 1, 1, 2, 0, 2, 2, 0, 0, 0, 1, 2, 0, 2, 1, 1, 0, 0, 2, 0, 2, 0, 2, 2, 2, 2, 1, 2, 0, 1, 1]",100,80,33
272,0,0.0,2722,6.700769145998493,"[0, 1, 1, 0, 2, 0, 1, 1, 2, 0, 0, 0, 1, 0, 2, 1, 1, 0, 2, 1, 1, 0, 0, 2, 0, 2, 1, 2, 2, 2, 1, 0, 1, 0, 2, 2, 2, 2, 2, 0, 0, 2, 1, 1, 2, 0, 1, 1, 1, 2]",100,80,34
273,80,0.0,2802,6.927901491999364,"[0, 1, 1, 0, 2, 0, 1, 1, 2, 0, 0, 0, 1, 0, 2, 1, 1, 0, 2, 1, 1, 0, 0, 2, 0, 2, 1, 2, 2, 2, 1, 0, 1, 0, 2, 2, 2, 2, 2, 0, 0, 2, 1, 1, 2, 0, 1, 1, 1, 2]",100,80,34
274,0,0.0,2802,6.9997027030003665,"[0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 2, 2, 1, 2, 0, 2, 0, 1, 1, 0, 2, 1, 1, 2, 2, 0, 2, 2, 2, 0, 0, 1, 0, 1, 2, 1, 1, 2, 1, 0, 0, 0, 0, 1, 1, 2, 1, 1, 1, 2]",100,80,35
275,80,0.0,2882,7.233232606999081,"[0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 2, 2, 1, 2, 0, 2, 0, 1, 1, 0, 2, 1, 1, 2, 2, 0, 2, 2, 2, 0, 0, 1, 0, 1, 2, 1, 1, 2, 1, 0, 0, 0, 0, 1, 1, 2, 1, 1, 1, 2]",100,80,35
276,0,0.0,2882,7.302355375999468,"[1, 0, 2, 2, 2, 0, 1, 2, 0, 0, 1, 2, 0, 1, 2, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 2, 2, 2, 1, 1, 1, 0, 1, 0, 0, 2, 2, 2, 0, 0, 0, 1, 0, 2, 2, 0, 0, 2, 0, 2]",100,80,36
